TITLE,ARTIST,PLAYLIST,PLAYLIST ID,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
Dream,clipping.,compost,1,2014,77,48,36,-20,9,5.45,75,0
Dark Parts,Perfume Genius,compost,1,2012,154,49,25,-11,13,3.15,72,0
Take Me Home,Perfume Genius,compost,1,2012,186,36,22,-10,48,2.67,43,0
AWOL Marine,Perfume Genius,compost,1,2012,93,11,21,-14,4,2.80,98,0
10-20-40,Rina Sawayama,compost,1,2017,98,90,57,-4,67,3.25,5,0
The Memo,Father John Misty,compost,1,2017,92,26,51,-10,30,5.28,62,0
Birdie,Father John Misty,compost,1,2017,113,24,49,-15,26,5.33,91,0
Things It Would Have Been Helpful to Know Before the Revolution,Father John Misty,compost,1,2017,141,37,48,-9,15,4.30,83,0
Death Will Bring Change,Parquet Courts,compost,1,2018,120,68,57,-6,45,2.70,40,0
Back to Earth,Parquet Courts,compost,1,2018,121,83,62,-4,50,3.90,2,0
Jim Wise,Sun Kil Moon,compost,1,2014,125,17,58,-12,41,3.57,85,0
daybed,FKA twigs,compost,1,2019,91,31,33,-14,10,4.52,56,0
home with you,FKA twigs,compost,1,2019,69,20,29,-12,10,3.75,84,0
cellophane,FKA twigs,compost,1,2019,107,28,56,-12,23,3.40,87,0
Wild Time,Weyes Blood,compost,1,2019,141,42,39,-10,25,6.15,55,0
Mirror Forever,Weyes Blood,compost,1,2019,109,28,33,-11,15,5.10,51,0
Movies,Weyes Blood,compost,1,2019,112,36,19,-9,10,5.90,65,0
How To Disappear Completely,Radiohead,compost,1,2000,102,30,17,-12,21,5.93,32,0
Motion Picture Soundtrack,Radiohead,compost,1,2000,94,13,13,-16,4,3.33,92,0
I Remember Nothing - 2007 Remaster,Joy Division,compost,1,1979,145,42,40,-11,30,5.92,5,0
Famous Prophets (Stars),Car Seat Headrest,compost,1,2018,138,33,48,-10,17,16.17,10,0
Suicide Demo for Kara Walker,Destroyer,compost,1,2011,105,57,63,-9,13,8.43,2,0
The Television Music Supervisor,Destroyer,compost,1,2020,120,44,28,-14,8,4.17,93,0
"Alone, Omen 3",King Krule,compost,1,2020,66,53,52,-9,23,2.78,15,0
Energy Fleets,King Krule,compost,1,2020,132,44,29,-10,4,2.57,88,0
Theme for the Cross,King Krule,compost,1,2020,169,25,17,-18,4,4.10,92,0
Nude,Radiohead,compost,1,2007,128,34,54,-10,16,4.25,83,0
Lilac,Porridge Radio,compost,1,2020,82,69,18,-7,24,5.47,0,0
Sweet,Porridge Radio,compost,1,2020,94,43,50,-9,33,3.72,6,0
Circling,Porridge Radio,compost,1,2020,168,74,37,-5,25,3.33,2,0
Some Dream,Perfume Genius,compost,1,2020,93,28,29,-8,8,4.32,77,0
Borrowed Light,Perfume Genius,compost,1,2020,128,21,27,-13,4,3.37,90,0
Norway,Beach House,compost,1,2010,119,48,46,-6,17,3.92,24,0
10 Mile Stereo,Beach House,compost,1,2010,193,74,24,-4,31,5.07,5,0
More Gifts,MIKE,compost,1,2020,143,55,53,-11,70,1.57,60,0
작은 마음 Tiny Heart,Sister's Barbershop,compost,1,2008,93,34,80,-12,70,3.97,74,0
"산들산들 Gently, Gently",Sister's Barbershop,compost,1,2008,128,48,61,-9,52,5.20,69,0
아름다운 것 Beautiful Thing,Sister's Barbershop,compost,1,2008,106,42,67,-9,69,4.85,60,0
NYC,Interpol,compost,1,2002,149,76,17,-5,28,4.33,1,0
The Mess Inside,The Mountain Goats,compost,1,2002,111,67,65,-7,60,3.60,87,0
Riches and Wonders,The Mountain Goats,compost,1,2002,128,21,64,-13,34,3.97,96,0
Distant Stations,The Mountain Goats,compost,1,2002,128,49,59,-9,37,3.08,93,0
Absolute Lithops Effect,The Mountain Goats,compost,1,2002,120,43,72,-9,45,4.13,91,0
Track 1,Lee So Ra,compost,1,2008,102,13,78,-18,33,6.98,89,0
Track 7,Lee So Ra,compost,1,2008,92,37,36,-13,19,3.53,83,0
Throat V,Little Women,compost,1,2010,93,31,36,-8,8,5.95,37,3
Truck Driver,Sun Kil Moon,compost,1,2014,66,19,47,-14,33,3.93,92,0
Richard Ramirez Died Today of Natural Causes,Sun Kil Moon,compost,1,2014,81,49,65,-8,62,5.58,82,0
Treefingers,Radiohead,compost,1,2000,138,14,16,-21,6,3.72,83,0
St. Cloud,Waxahatchee,compost,1,2020,168,2,29,-16,13,4.70,97,0
Throat II,Little Women,compost,1,2010,138,15,32,-11,4,5.05,97,4
No Surprises,Radiohead,compost,1,1997,76,39,26,-11,12,3.82,6,4
Shoes Of Gold,Matana Roberts,compost,1,2019,129,76,35,-9,45,3.13,17,0
Come On Feet,Quasimoto,compost,1,2000,89,78,64,-7,47,3.58,48,0
Her Mighty Waters Run,Matana Roberts,compost,1,2019,131,28,29,-9,24,4.95,97,0
Bye.,J Dilla,compost,1,2006,90,41,60,-9,51,1.47,64,0
Stupid Child,Swans,compost,1,2015,138,93,42,-11,19,5.28,0,9
Funeral Parade of Roses,Material Girl,compost,1,2020,83,32,34,-15,4,9.78,28,7
Last Donut Of The Night,J Dilla,compost,1,2006,81,66,54,-7,47,1.67,38,0
너의 선물 Your Present,Mukimukimanmansu,compost,1,2012,150,32,54,-9,36,2.58,81,10
Chain of Missing Links,The Books,compost,1,2010,82,50,34,-12,21,4.52,73,0
Sunday Mass,Quelle Chris,compost,1,2019,151,43,61,-13,49,0.88,63,15
Dye,Aubrey Key,compost,1,2020,102,39,74,-9,38,2.32,91,12
Failure,Swans,compost,1,2015,81,30,50,-12,14,6.33,70,17
Car,Aubrey Key,compost,1,2020,91,52,54,-8,57,3.57,85,14
Otto Pilotto,Lenny Valentino,compost,1,2001,93,49,39,-8,5,4.78,51,18
Lam Azal,Issam Hajali,compost,1,2019,77,46,31,-8,55,3.62,30,20
Can't You See,Women,compost,1,2010,113,55,18,-8,23,3.68,1,2
Black,Bonnie Prince Billy,compost,1,1998,70,4,51,-24,44,3.77,90,5
Prostitute,Richard Dawson,compost,1,2017,108,16,39,-12,14,4.00,60,22
My Dear One,Blake Mills,compost,1,2020,152,22,36,-18,32,5.55,92,21
It's a Lot It's Seamless,Brave Little Abacus,compost,1,2020,99,61,33,-11,28,4.00,8,22
Madeleine-Mary,Bonnie Prince Billy,compost,1,1998,126,48,58,-15,79,2.52,69,6
Virginal II,Tim Hecker,compost,1,2013,120,65,40,-11,11,5.40,50,24
What's Tonight to Eternity,Cindy Lee,compost,1,2020,81,52,26,-8,31,2.13,77,24
Still Light,The Knife,compost,1,2006,121,4,38,-23,9,3.27,99,23
Clock With No Hands,The Roots,compost,1,2006,85,64,65,-9,41,4.38,6,24
Dramamine,Modest Mouse,compost,1,1996,185,74,38,-9,80,5.70,33,4
All & Everyone,PJ Harvey,compost,1,2011,77,41,23,-10,16,5.67,14,24
Fancy Clown,Madvillain,compost,1,2004,90,75,54,-9,69,1.93,33,4
Källans återuppståndelse,Anna von Hausswolff,compost,1,2018,71,27,9,-11,3,7.43,95,27
Live Room,Tim Hecker,compost,1,2013,120,79,37,-9,16,7.03,2,26
Vasquez,Julia Holter,compost,1,2015,141,68,40,-7,22,6.62,10,25
The Captain,The Knife,compost,1,2006,105,36,35,-11,3,6.15,22,26
Ian Curtis Wishlist,Xiu Xiu,compost,1,2003,79,10,19,-11,6,4.57,36,26
Holy is the Name (Of My Ruthless Axe),Lingua Ignota,compost,1,2018,72,19,29,-13,7,5.48,98,25
Peito Vazio,Cartola,compost,1,2014,108,31,63,-12,52,2.93,95,25
